id,geo_1,geo_2,url,size,boost,title,country
vCyrtqJp,-112.84184,49.69349,/visit/lethbridge/vCyrtqJp,5,0,"Lethbridge","Canada"
xLcHG2LD,-79.46082,46.309116,/visit/north-bay/xLcHG2LD,5,0,"North Bay","Canada"
NKdxgqIX,68.82281,27.724356,/visit/sukkur/NKdxgqIX,1,0,"Sukkur","Pakistan"
K5Y3TZEo,-98.47601,20.537449,/visit/huayacocotla/K5Y3TZEo,1,0,"Huayacocotla","Mexico"
XhKhfaO_,51.198513,43.641098,/visit/aktau/XhKhfaO_,1,1,"Aktau","Kazakhstan"
13FGeVdF,12.171302,45.90006,/visit/pieve-di-soligo/13FGeVdF,1,0,"Pieve di Soligo","Italy"
wVb2WKg5,-7.7960873,41.083622,/visit/lamego/wVb2WKg5,5,0,"Lamego","Portugal"
wimW4cAJ,27.51436,-29.363218,/visit/maseru/wimW4cAJ,6,1,"Maseru","Lesotho"
YTZpnETX,35.099827,31.53257,/visit/hebron/YTZpnETX,6,1,"Hebron","Palestine"
7O3qZHv8,79.861244,6.9270787,/visit/colombo/7O3qZHv8,55,0,"Colombo","Sri Lanka"
XEPJYd59,20.368574,45.38156,/visit/zrenjanin/XEPJYd59,3,0,"Zrenjanin","Serbia"
d3c3A2Da,-61.284542,10.631942,/visit/arima/d3c3A2Da,3,0,"Arima","Trinidad and Tobago"
YI9xEF3q,-0.7557509,51.248367,/visit/aldershot/YI9xEF3q,3,0,"Aldershot","United Kingdom"
1DfClXNG,24.574732,36.79294,/visit/kimolos/1DfClXNG,1,0,"Kimolos","Greece"
3JVUMOnW,-73.525986,-45.163677,/visit/port-aguirre/3JVUMOnW,1,0,"Port Aguirre","Chile"
xIKG0qZJ,-56.477592,-30.406818,/visit/artigas/xIKG0qZJ,7,0,"Artigas","Uruguay"
eUXNJ3rs,-50.784008,-23.520561,/visit/santa-cecilia-do-pavao-pr/eUXNJ3rs,1,0,"Santa Cecília do Pavão PR","Brazil"
X3DSwHLj,-45.124195,-20.47193,/visit/itapecerica-mg/X3DSwHLj,1,0,"Itapecerica MG","Brazil"
fGkpLYwq,18.424055,-33.92487,/visit/cape-town/fGkpLYwq,39,0,"Cape Town","South Africa"
BiB1tQc3,34.98957,32.794044,/visit/haifa/BiB1tQc3,7,0,"Haifa","Israel"
iiLHp9BA,18.06858,59.329323,/visit/stockholm/iiLHp9BA,39,0,"Stockholm","Sweden"
leKl2aAL,-84.09072,9.928069,/visit/san-jose/leKl2aAL,35,0,"San José","Costa Rica"
aO0mLGBn,-86.7816,36.162663,/visit/nashville-tn/aO0mLGBn,36,0,"Nashville TN","United States"
wRtG4LE8,15.981919,45.81501,/visit/zagreb/wRtG4LE8,28,0,"Zagreb","Croatia"
mJ3XtgpB,-122.67648,45.523064,/visit/portland-or/mJ3XtgpB,24,0,"Portland OR","United States"
leMlzS6x,-112.074036,33.448376,/visit/phoenix-az/leMlzS6x,19,0,"Phoenix AZ","United States"
RtAklQtx,-47.397816,-22.189247,/visit/leme-sp/RtAklQtx,3,0,"Leme SP","Brazil"
NDUIFL1V,5.8104806,49.685135,/visit/arlon/NDUIFL1V,24,0,"Arlon","Belgium"
NnL7fCP1,-37.073082,-10.947247,/visit/aracaju-se/NnL7fCP1,18,0,"Aracaju SE","Brazil"
4Ogyv8K6,-77.10579,38.882812,/visit/arlington-va/4Ogyv8K6,7,0,"Arlington VA","United States"
cEFe8TTl,-59.12088,-34.56333,/visit/lujan/cEFe8TTl,4,0,"Luján","Argentina"
7oIMadIj,-122.0308,36.974117,/visit/santa-cruz-ca/7oIMadIj,7,0,"Santa Cruz CA","United States"
2D6VkaAd,11.97456,57.70887,/visit/gothenburg/2D6VkaAd,14,0,"Gothenburg","Sweden"
vG0FE8pT,10.181532,36.806496,/visit/tunis/vG0FE8pT,17,0,"Tunis","Tunisia"
SUtdxV5O,-35.2244,-8.357135,/visit/escada-pernambuco-pe/SUtdxV5O,1,0,"Escada PE","Brazil"
goDX9IYI,-0.39032,51.65649,/visit/watford/goDX9IYI,7,0,"Watford","United Kingdom"
GiGeErfR,-89.59258,20.967371,/visit/merida/GiGeErfR,18,0,"Merida","Mexico"
ENZgK67P,-55.402866,-27.624788,/visit/leandro-n-alem/ENZgK67P,1,0,"Leandro N. Alem","Argentina"
4fVySIP8,5.2647014,52.350784,/visit/almere/4fVySIP8,12,0,"Almere","Netherlands"
pUe3ikei,18.413076,43.85626,/visit/sarajevo/pUe3ikei,14,0,"Sarajevo","Bosnia and Herzegovina"
o1ow8bzJ,-55.98599,-31.720684,/visit/tacuarembo/o1ow8bzJ,12,0,"Tacuarembó","Uruguay"
TaXPW1ZQ,-51.17967,-29.163403,/visit/caxias-do-sul-rs/TaXPW1ZQ,12,0,"Caxias do Sul RS","Brazil"
GfwecgE5,17.191,44.772182,/visit/banja-luka/GfwecgE5,14,0,"Banja Luka","Bosnia and Herzegovina"
mcbDC8oS,-68.71402,18.614983,/visit/higuey/mcbDC8oS,14,0,"Higüey","Dominican Republic"
xGCdtpPi,172.63623,-43.532055,/visit/christchurch/xGCdtpPi,11,0,"Christchurch","New Zealand"
n1yurhah,-71.16792,-42.05035,/visit/el-maiten/n1yurhah,1,0,"El Maitén","Argentina"
pEhH5ios,-99.95009,49.848473,/visit/brandon/pEhH5ios,2,0,"Brandon","Canada"
1RzdPXSQ,24.105186,56.94965,/visit/riga/1RzdPXSQ,27,1,"Riga","Latvia"
GlVvFKkU,85.1472,52.507275,/visit/biysk/GlVvFKkU,8,0,"Biysk","Russia"
rNbKL0bC,-65.423195,-24.782127,/visit/salta/rNbKL0bC,13,0,"Salta","Argentina"
NrMe7RcV,9.767869,4.0510564,/visit/douala/NrMe7RcV,2,1,"Douala","Cameroon"
N2l9ILg5,55.455055,-20.89066,/visit/saint-denis/N2l9ILg5,9,0,"Saint-Denis","Réunion"
oSmQEkKy,-70.481964,41.647873,/visit/mashpee-ma/oSmQEkKy,2,0,"Mashpee MA","United States"
HjGDuA3p,-2.46874,53.69545,/visit/darwen/HjGDuA3p,1,0,"Darwen","United Kingdom"
n4SKrUoN,-81.57061,30.747896,/visit/saint-marys-ga/n4SKrUoN,1,0,"Saint Marys GA","United States"
h9dUK4Ex,-77.43605,37.540726,/visit/richmond-va/h9dUK4Ex,12,0,"Richmond VA","United States"
bc6E0APu,-57.85166,-51.697712,/visit/stanley/bc6E0APu,2,1,"Stanley","Falkland Islands"
u2HJfgy8,20.853746,39.665028,/visit/ioannina/u2HJfgy8,9,0,"Ioannina","Greece"
RWLVA-HJ,-6.6646104,55.13258,/visit/coleraine/RWLVA-HJ,2,0,"Coleraine","United Kingdom"
0EHo5AJC,-75.24244,4.444676,/visit/ibague/0EHo5AJC,22,0,"Ibagué","Colombia"
PGd1YecV,55.972054,54.73876,/visit/ufa/PGd1YecV,10,0,"Ufa","Russia"
QzQCLhOY,14.480255,48.97566,/visit/ceske-budejovice/QzQCLhOY,10,0,"České Budějovice","Czechia"
FloVLEfO,-66.85646,-29.413454,/visit/la-rioja/FloVLEfO,10,0,"La Rioja","Argentina"
Gy5RVzAX,-96.7898,46.877186,/visit/fargo-nd/Gy5RVzAX,14,0,"Fargo ND","United States"
fymwq5M5,-76.64981,5.695633,/visit/quibdo/fymwq5M5,10,0,"Quibdó","Colombia"
4aZSY0Z2,-45.46025,-22.422972,/visit/itajuba-mg/4aZSY0Z2,11,0,"Itajubá MG","Brazil"
VU38WtY9,18.262524,49.820923,/visit/ostrava/VU38WtY9,9,0,"Ostrava","Czechia"
