apiVersion,city_id,latitude,longitude,city,country,utcOffset,station,station_id,url,time,stream_software,stream_name,stream_genre,stream_url,stream_standard,stream_bitrate,stream_fs,stream_channels,artist,title
1,vCyrtqJp,-112.84184,49.69349,Lethbridge,Canada,-420,2DayFM 98.1 CKBD,Yzw9v0Fq,/listen/981thebridge/Yzw9v0Fq,10-Mar-2022 19:44:39,,,various,,aac (he-aac),57,44100,stereo,,
1,vCyrtqJp,-112.84184,49.69349,Lethbridge,Canada,-420,CJOC FM 94.1,NzGGM8Ek,/listen/cjoc/NzGGM8Ek,10-Mar-2022 19:44:40,,,various,,aac (he-aac),57,44100,stereo,,
1,vCyrtqJp,-112.84184,49.69349,Lethbridge,Canada,-420,CKXU 88.3 FM,ZD7oW9vO,/listen/ckxu/ZD7oW9vO,10-Mar-2022 19:44:41,shoutcast dnas/posix(linux x64) v2.4.7.256,ckxu 88.3 fm,college,http://www.ckxu.com,mp3,196,48000,stereo,,
1,vCyrtqJp,-112.84184,49.69349,Lethbridge,Canada,-420,CRLC The Kodiak,S4gQ06aM,/listen/crlc-the-kodiak/S4gQ06aM,10-Mar-2022 19:44:44,shoutcast dnas/win32 v2.6.1.777,crlc the kodiak,alternative,http://www.shoutcast.com,mp3,128,44100,stereo,,
1,vCyrtqJp,-112.84184,49.69349,Lethbridge,Canada,-420,Kiss 107.7 FM,HdcWP3Cx,/listen/kiss-107-7-fm/HdcWP3Cx,10-Mar-2022 19:44:46,,,various,,aac (lc),198,44100,stereo,,
1,xLcHG2LD,-79.46082,46.309116,North Bay,Canada,-300,101.9 Rock,ac28OsOS,/listen/radio-101-9-rock/ac28OsOS,10-Mar-2022 21:44:49,,,various,,aac (lc),198,44100,stereo,,
1,xLcHG2LD,-79.46082,46.309116,North Bay,Canada,-300,CFCH 90.5,WUudLvMK,/listen/cfch-90-5/WUudLvMK,10-Mar-2022 21:44:50,,,various,,aac (he-aac),57,44100,stereo,,
1,xLcHG2LD,-79.46082,46.309116,North Bay,Canada,-300,Country AM 600,IF6KGgKk,/listen/country-am-600/IF6KGgKk,10-Mar-2022 21:44:52,,,various,,aac (he-aac),48,44100,stereo,,
1,xLcHG2LD,-79.46082,46.309116,North Bay,Canada,-300,Radio Konton 90.5 FM,LDmBny2f,/listen/radio-konton-90-5-fm/LDmBny2f,10-Mar-2022 21:44:53,shoutcast dnas/win32 v2.5.5.733,radio konton,"experimental, death metal, disco, jazz, industrial",http://www.shoutcast.com,mp3,128,44100,stereo,radio konton,nocturnes vii
1,xLcHG2LD,-79.46082,46.309116,North Bay,Canada,-300,The Moose FM 106.3,65kOUlbz,/listen/the-moose-fm-106-3/65kOUlbz,10-Mar-2022 21:44:54,,,various,,aac (he-aac),57,44100,stereo,,
1,NKdxgqIX,68.82281,27.724356,Sukkur,Pakistan,300,Jeay FM 88,OYsufZZ7,/listen/jeay-fm-88/OYsufZZ7,11-Mar-2022 07:44:55,shoutcast dnas/posix(linux x64) v2.5.5.733,jeay sukkur fm 88,various,http://www.audiorealm.com,mp3,64,44100,mono,,
1,XhKhfaO_,51.198513,43.641098,Aktau,Kazakhstan,300,Love Radio FM 103.8,LSQTq7D3,/listen/love-radio-aktau-103-8-fm/LSQTq7D3,11-Mar-2022 07:44:57,,,,,mp3,128 kb/s,44100,stereo,,
1,13FGeVdF,12.171302,45.90006,Pieve di Soligo,Italy,60,A2i Radio,3GPoVe3D,/listen/a2i-radio/3GPoVe3D,11-Mar-2022 03:44:57,shoutcast dnas/posix(linux x64) v2.6.0.753,,misc,,mp3,32,44100,stereo,,
1,wVb2WKg5,-7.7960873,41.083622,Lamego,Portugal,0,Rádio Clube de Lamego,1hcuDos8,/listen/radio-clube-de-lamego/1hcuDos8,11-Mar-2022 02:44:58,shoutcast dnas/posix(linux x64) v2.5.5.733,radio clube de lamego,various,http://www.rclamego.pt,mp3,128,44100,stereo,joao so feat. lucia moniz,sorte grande
1,wVb2WKg5,-7.7960873,41.083622,Lamego,Portugal,0,Rádio Dom Bosco - Lamego e Trancoso,uj7f_Y-I,/listen/radio-dom-bosco-lamego-e-trancoso/uj7f_Y-I,11-Mar-2022 02:45:00,,,,,aac (he-aac),64,48000,stereo,,
1,wVb2WKg5,-7.7960873,41.083622,Lamego,Portugal,0,Radio Douro Nacional,IT3VHUDo,/listen/radio-douro-nacional/IT3VHUDo,11-Mar-2022 02:45:01,shoutcast dnas/posix(linux x64) v2.5.5.733,r├ídio douro nacional,misc,www.radiodouronacional.com,mp3,128,48000,stereo,,
1,wVb2WKg5,-7.7960873,41.083622,Lamego,Portugal,0,Rádio Sé - Lamego,oLiHymC6,/listen/radio-se-lamego/oLiHymC6,11-Mar-2022 02:45:02,shoutcast dnas/posix(linux x64) v2.5.5.733,radio se- lamego,educacao,www.aves.edu.pt,mp3,128,44100,stereo,glenn miller,little brown jug
1,wVb2WKg5,-7.7960873,41.083622,Lamego,Portugal,0,Radio Top80 PT,RnaNW2Ic,/listen/radio-top80-pt/RnaNW2Ic,11-Mar-2022 02:45:02,shoutcast dnas/posix(linux x64) v2.5.1.724,radio top80pt,estilo musical musica dos anos 80 90,https://top80pt.com/,aac (lc),128,44100,stereo,living in a box,room in your heart
1,wimW4cAJ,27.51436,-29.363218,Maseru,Lesotho,120,Harvest FM 98.9,Ru9opWUX,/listen/harvest-fm-98-9/Ru9opWUX,11-Mar-2022 04:45:07,,-,,,mp3,128 kb/s,44100,stereo,,
1,wimW4cAJ,27.51436,-29.363218,Maseru,Lesotho,120,MoAfrika FM,V0ZxS-qm,/listen/moafrika-fm/V0ZxS-qm,11-Mar-2022 04:45:08,shoutcast distributed network audio server/linux v1.9.8,moafrika fm,misc,www.moafrikafm.co.ls,mp3,96,44100,stereo,,
1,wimW4cAJ,27.51436,-29.363218,Maseru,Lesotho,120,MXXL Radio,Pv8Im0iM,/listen/mxxl-radio/Pv8Im0iM,11-Mar-2022 04:45:08,shoutcast dnas/posix(linux x64) v2.5.5.733,mxxl - powered by custom-it,misc,https://cp13.shoutcheap.com:2199/start/customi1,aac (he-aac),48,22050,stereo,,
1,wimW4cAJ,27.51436,-29.363218,Maseru,Lesotho,120,People's Choice Radio (PC FM),emtfcb6n,/listen/people-s-choice-radio-pc-fm/emtfcb6n,11-Mar-2022 04:45:17,,instreamer,genre,,mp3,75,44100,stereo,,
